nn(色彩-2, 屏幕-1)
advmod(王道-33, 总是-23)
case(错-25, 按-24)
prep(王道-33, 错-25)
det(年头-28, 这-27)
nn(键-30, 年头-28)
amod(键-30, 大-29)
nsubj(王道-33, 键-30)
advmod(王道-33, 才-31)
cop(王道-33, 是-32)
conj(是-3, 王道-33)

nsubj(不错-3, 机器-1)
advmod(不错-3, 还是-2)
root(ROOT-0, 不错-3)
dep(不错-3, 的-4)
nsubj(划伤-7, 掉漆-6)
nsubj(在所难免-10, 划伤-7)
dobj(划伤-7, 什么-8)
mark(划伤-7, 的-9)
dep(不错-3, 在所难免-10)
nsubj(会-14, 4s-12)
advmod(会-14, 也-13)
dep(不错-3, 会-14)
dobj(会-14, 划伤-15)
advmod(爱惜-19, 所以-17)
advmod(爱惜-19, 尽可能-18)
dep(行-22, 爱惜-19)
dobj(爱惜-19, 点-20)
advmod(行-22, 就-21)
dep(不错-3, 行-22)
asp(行-22, 了-23)

mmod(有-2, 入手-1)
relcl(建议-13, 有-2)
nsubj(早-4, 点-3)
dep(有-2, 早-4)
dep(早-4, 买-6)
rcomp(买-6, 贵-7)
asp(买-6, 了-8)
dep(早-4, 想-10)
ccomp(想-10, 买-11)
mark(有-2, 的-12)
nn(降价-15, 建议-13)
etc(建议-13, 等-14)
nsubj(入手-17, 降价-15)
advmod(入手-17, 先-16)
root(ROOT-0, 入手-17)
dep(入手-17, 吧-18)

assmod(问题-4, 自家-1)
case(自家-1, 的-2)
nn(问题-4, 地图-3)
nsubj(出-6, 问题-4)
nummod(出-6, 百-5)
root(ROOT-0, 出-6)
nsubj(丢-14, 有人-8)
case(地图-12, 因为-9)
relcl(地图-12, 糟糕-10)
mark(糟糕-10, 的-11)
prep(丢-14, 地图-12)
advmod(丢-14, 差点-13)
conj(出-6, 丢-14)
asp(丢-14, 了-15)
dobj(丢-14, 性命-16)
nsubj(应该-19, 地图-18)
conj(出-6, 应该-19)
dep(应该-19, 好好-20)
dep(应该-19, 优化-21)
advmod(应该-19, 一下-22)

nsubj(高-3, 价位-1)
advmod(高-3, 偏-2)
root(ROOT-0, 高-3)
conj(高-3, 有待-5)
ccomp(有待-5, 下调-6)

nn(更新-2, APP-1)
nsubj(慢-3, 更新-2)
root(ROOT-0, 慢-3)
dep(慢-3, 更新-5)
clf(微信-7, 个-6)
dobj(更新-5, 微信-7)
conj(更新-5, 用-8)
asp(用-8, 了-9)
nummod(个-11, 1-10)
clf(小时-13, 个-11)
amod(小时-13, 多-12)
dobj(用-8, 小时-13)
mmod(进-19, 进-15)
mmod(进-19, APP-16)
case(WIFI-18, 用-17)
prep(进-19, WIFI-18)
dep(慢-3, 进-19)
dobj(进-19, 超慢-20)
case(3G-23, 用-22)
prep(要-24, 3G-23)
dep(慢-3, 要-24)
amod(点-26, 好-25)
dobj(要-24, 点-26)

root(ROOT-0, 好看-1)
nsubj(适合-4, 屏幕-3)
dep(好看-1, 适合-4)
nsubj(这种-6, 我-5)
ccomp(适合-4, 这种-6)
nn(人-10, 手-7)
assmod(人-10, 小-8)
case(小-8, 的-9)
dobj(这种-6, 人-10)

nsubj(大-3, 屏幕-1)
advmod(大-3, 太-2)
root(ROOT-0, 大-3)
asp(大-3, 了-4)
assmod(屏幕-8, 3.5-6)
case(3.5-6, 的-7)
nsubj(够-10, 屏幕-8)
advmod(够-10, 已经-9)
conj(大-3, 够-10)
asp(够-10, 了-11)
neg(为-16, 没-13)
nsubj(为-16, 必要-14)
mmod(为-16, 扩大-15)
conj(大-3, 为-16)
dep(为-16, 4.0-17)

nsubj(会-3, 游戏-1)
advmod(会-3, 有时-2)
root(ROOT-0, 会-3)
dobj(会-3, 闪退-4)
assmod(app-10, 商店-6)
case(商店-6, 中-7)
case(商店-6, 的-8)
nummod(app-10, 很多-9)
nsubj(支持-12, app-10)
xsubj(开通-19, app-10)
neg(支持-12, 不-11)
conj(会-3, 支持-12)
amod(下载-14, 免费-13)
dobj(支持-12, 下载-14)
dep(支持-12, 希望-16)
mmod(开通-19, 可以-17)
advmod(开通-19, 逐渐-18)
ccomp(希望-16, 开通-19)
dobj(开通-19, 改善-20)

nsubj(好-9, 摄像-1)
mmod(好-9, 能-2)
case(像素-7, 用-3)
assmod(像素-7, 柯达-4)
case(柯达-4, 的-5)
nummod(像素-7, 1600万-6)
prep(好-9, 像素-7)
advmod(好-9, 就-8)
dep(心愿-16, 好-9)
dep(好-9, 啦-10)
nsubj(心愿-16, 偶-12)
clf(心愿-16, 滴-13)
nummod(心愿-16, 一个-14)
amod(心愿-16, 小-15)
root(ROOT-0, 心愿-16)

assmod(漆-5, 银色-1)
case(银色-1, 边上-2)
case(银色-1, 的-3)
nn(漆-5, 金属-4)
nsubj(掉-8, 漆-5)
advmod(掉-8, 容易-6)
mmod(掉-8, 蹭-7)
root(ROOT-0, 掉-8)
relcl(朋友-12, 爱惜-10)
mark(爱惜-10, 的-11)
nsubj(要-14, 朋友-12)
mmod(要-14, 必须-13)
dep(掉-8, 要-14)
nn(壳-19, 配硅-15)
conj(壳-19, 胶套-16)
cc(壳-19, 和-17)
nn(壳-19, 透明-18)
dobj(要-14, 壳-19)
dep(要-14, 了-20)

nsubjpass(说-3, 掉漆-1)
auxpass(说-3, 被-2)
nsubj(严重-6, 说-3)
mark(说-3, 的-4)
advmod(严重-6, 很-5)
root(ROOT-0, 严重-6)
advmod(碰-12, 只要-8)
neg(碰-12, 不-9)
nsubj(碰-12, 嗑-10)
neg(碰-12, 不-11)
dep(没事-24, 碰-12)
advmod(掉-16, 就-13)
neg(掉-16, 不-14)
mmod(掉-16, 会-15)
dobj(碰-12, 掉-16)
dobj(掉-16, 漆-17)
mark(掉-16, 的-18)
mmod(没事-24, 带-20)
dep(套-22, 个-21)
dep(没事-24, 套-22)
advmod(没事-24, 就-23)
conj(严重-6, 没事-24)
asp(没事-24, 了-25)

advmod(贵-2, 太-1)
root(ROOT-0, 贵-2)
asp(贵-2, 了-3)
nsubj(下降-6, 价格-5)
relcl(速度-8, 下降-6)
mark(下降-6, 的-7)
nsubj(提高-12, 速度-8)
advmod(提高-12, 还-9)
mmod(提高-12, 应当-10)
advmod(提高-12, 进一步-11)
dep(贵-2, 提高-12)

nsubj(差-4, 外壳-1)
mmod(差-4, 做工-2)
advmod(差-4, 太-3)
root(ROOT-0, 差-4)
det(接缝-7, 那个-6)
nsubj(明显-9, 接缝-7)
advmod(明显-9, 太-8)
dep(差-4, 明显-9)
dep(明显-9, 了-10)
advmod(做-15, 要是-12)
ba(做-15, 把-13)
nsubj(做-15, 外壳-14)
dep(差-4, 做-15)
dobj(做-15, 漂亮点-16)
conj(做-15, 干掉-18)
range(干掉-18, IPHONE4-19)
dep(做-15, 没-20)
dobj(没-20, 问题-21)

nsubj(可圈可点-2, 外型-1)
root(ROOT-0, 可圈可点-2)
advmod(外壳-7, 如果-4)
cop(外壳-7, 是-5)
nn(外壳-7, 金属-6)
dep(提高-14, 外壳-7)
cc(外壳-7, 或者-8)
cop(边-11, 是-9)
nn(边-11, 金属-10)
conj(外壳-7, 边-11)
mmod(提高-14, 会-13)
conj(可圈可点-2, 提高-14)
dobj(提高-14, 档次-15)

nsubj(好-7, 摄像头-1)
advmod(好-7, 要是-2)
cop(好-7, 是-3)
nn(闪光灯-5, 疝气-4)
nsubj(好-7, 闪光灯-5)
advmod(好-7, 就-6)
root(ROOT-0, 好-7)

advmod(延续-2, 依旧-1)
root(ROOT-0, 延续-2)
relcl(外观-5, 硬朗-3)
mark(硬朗-3, 的-4)
dobj(延续-2, 外观-5)
case(性价比-10, 较-7)
relcl(性价比-10, 高-8)
mark(高-8, 的-9)
prep(无异于-22, 性价比-10)
advmod(能够-18, 如果-12)
assmod(效果-17, 摄像头-13)
case(摄像头-13, 的-14)
conj(效果-17, 分辨率-15)
cc(效果-17, 和-16)
nsubj(能够-18, 效果-17)
dep(无异于-22, 能够-18)
comod(能够-18, 提升-19)
advmod(无异于-22, 那-20)
advmod(无异于-22, 就-21)
dep(延续-2, 无异于-22)
rcomp(无异于-22, 完美-23)
asp(无异于-22, 了-24)

nsubj(低-3, 像素-1)
advmod(低-3, 有些-2)
root(ROOT-0, 低-3)
advmod(得-7, 怎么-5)
advmod(得-7, 也-6)
dep(低-3, 得-7)
range(得-7, 800W-8)
dep(得-7, 呀-9)

dep(没有-2, 键盘-1)
root(ROOT-0, 没有-2)
relcl(神-6, 说-3)
mark(说-3, 的-4)
amod(神-6, 那么-5)
dobj(没有-2, 神-6)
nn(键程-9, 感觉-8)
nsubj(浅-11, 键程-9)
advmod(浅-11, 太-10)
conj(没有-2, 浅-11)
advmod(操作-16, 有时-13)
mmod(操作-16, 会-14)
advmod(操作-16, 误-15)
conj(没有-2, 操作-16)
advmod(突出-22, 如果-18)
det(键盘-20, 每个-19)
nsubj(突出-22, 键盘-20)
advmod(突出-22, 再-21)
dep(完美-27, 突出-22)
advmod(一丁点-24, 那么-23)
range(突出-22, 一丁点-24)
advmod(完美-27, 就-25)
advmod(完美-27, 更-26)
conj(没有-2, 完美-27)
asp(完美-27, 了-28)

root(ROOT-0, 丢失-1)
dobj(丢失-1, 通讯录-2)
nsubj(想-6, 我-4)
advmod(想-6, 只-5)
dep(丢失-1, 想-6)
ccomp(想-6, 提醒-7)
ccomp(提醒-7, 打算-8)
ccomp(打算-8, 入手-9)
det(机器-11, 此-10)
assmod(朋友-13, 机器-11)
case(机器-11, 的-12)
dobj(入手-9, 朋友-13)
advmod(备份-16, 一定-15)
dep(打算-8, 备份-16)
rcomp(备份-16, 好-17)
assmod(通讯录-20, 自己-18)
case(自己-18, 的-19)
dobj(备份-16, 通讯录-20)
mmod(切记-23, 切记-22)
dep(打算-8, 切记-23)

assmod(解锁-4, 国行-1)
case(国行-1, 的-2)
nn(解锁-4, 滑动-3)
dep(有-5, 解锁-4)
root(ROOT-0, 有-5)
nn(卡-7, 点-6)
dobj(有-5, 卡-7)
dep(有-5, 希望-9)
ccomp(希望-9, 可以-10)
rcomp(可以-10, 解决-11)
dep(希望-9, 啊-12)

nsubj(耗电-3, 屏幕-1)
advmod(耗电-3, 太-2)
root(ROOT-0, 耗电-3)
nn(键盘-6, 实体-5)
nsubj(支持-8, 键盘-6)
neg(支持-8, 不-7)
conj(耗电-3, 支持-8)
dobj(支持-8, 游戏-9)
dvpmod(牢时-13, 打-11)
mark(打-11, 地-12)
dep(支持-8, 牢时-13)
dep(牢时-13, 最-14)
dep(牢时-13, 多-15)
nummod(个-17, 3-16)
clf(电量-19, 个-17)
nn(电量-19, 小时-18)
nsubj(见-21, 电量-19)
advmod(见-21, 就-20)
dep(牢时-13, 见-21)
rcomp(见-21, 警告-22)
asp(见-21, 了-23)
mmod(买-27, 要-25)
advmod(买-27, 多-26)
dep(支持-8, 买-27)
dobj(买-27, 电池-28)

nn(键盘-2, 感觉-1)
nsubj(鸡肋-4, 键盘-2)
advmod(鸡肋-4, 完全-3)
root(ROOT-0, 鸡肋-4)
tmod(以为-7, 以前-6)
conj(鸡肋-4, 以为-7)
dep(快-21, 聊天-8)
assmod(键盘-12, 什么-9)
case(什么-9, 的-10)
nn(键盘-12, 用-11)
dobj(聊天-8, 键盘-12)
dep(聊天-8, 呢-13)
advmod(快-21, 结果-15)
nsubj(快-21, 屏幕-16)
mmod(快-21, 打字-17)
case(这个-19, 比-18)
prep(快-21, 这个-19)
advmod(快-21, 还-20)
ccomp(以为-7, 快-21)
dep(以为-7, 希望-23)
dobj(希望-23, 摩托-24)
dep(希望-23, 出-25)
nsubj(犀利-28, 外形-26)
advmod(犀利-28, 一样-27)
relcl(机子-34, 犀利-28)
advmod(没有-30, 但-29)
dobj(犀利-28, 没有-30)
dobj(没有-30, 键盘-31)
mark(没有-30, 的-32)
mark(犀利-28, 的-33)
dobj(出-25, 机子-34)

nn(机子-2, 这块-1)
nsubj(不错-4, 机子-2)
cop(不错-4, 是-3)
root(ROOT-0, 不错-4)
advmod(电池费-7, 就是-6)
dvpmod(快-9, 电池费-7)
mark(电池费-7, 的-8)
dep(不错-4, 快-9)
mmod(守-12, 适合-11)
dep(不错-4, 守-12)
asp(守-12, 着-13)
assmod(使用-17, 电源-14)
case(电源-14, 的-15)
nn(使用-17, 人-16)
dobj(守-12, 使用-17)

nsubj(沾-5, 屏幕-1)
cop(沾-5, 是-2)
advmod(沾-5, 很-3)
advmod(沾-5, 容易-4)
root(ROOT-0, 沾-5)
det(指纹-7, 上-6)
dobj(沾-5, 指纹-7)
dep(沾-5, 装-9)
amod(皮套-13, 好-10)
conj(皮套-13, 防护壳-11)
cc(皮套-13, 和-12)
dobj(装-9, 皮套-13)
advmod(清理-16, 定期-15)
conj(沾-5, 清理-16)
dobj(清理-16, 屏幕-17)
neg(有-21, 不-19)
mmod(有-21, 会-20)
conj(沾-5, 有-21)
advmod(大-23, 太-22)
assmod(问题-25, 大-23)
case(大-23, 的-24)
dobj(有-21, 问题-25)

nsubj(好-4, 真-1)
mark(真-1, 的-2)
advmod(好-4, 蛮-3)
root(ROOT-0, 好-4)
dep(好-4, 的-5)
nsubj(首选-8, 女生-7)
conj(好-4, 首选-8)
relcl(外观-12, 不错-10)
mark(不错-10, 的-11)
nsubj(可-14, 外观-12)
advmod(可-14, 加上-13)
conj(好-4, 可-14)
relcl(彩壳-17, 更换-15)
mark(更换-15, 的-16)
dobj(可-14, 彩壳-17)
advmod(漂亮-20, 很-19)
dep(吸引-23, 漂亮-20)
advmod(吸引-23, 也-21)
advmod(吸引-23, 很-22)
conj(好-4, 吸引-23)
dobj(吸引-23, 眼球-24)

nsubj(Android-4, Motorola-1)
advmod(Android-4, 最-2)
advmod(Android-4, 猛-3)
root(ROOT-0, Android-4)
dobj(Android-4, 手机-5)
neg(平价-8, 不-7)
dep(Android-4, 平价-8)
advmod(希望-11, 只-10)
dep(Android-4, 希望-11)
dobj(希望-11, 价格-12)
mmod(厚道-14, 能够-13)
dep(希望-11, 厚道-14)
range(厚道-14, 一点-15)

dep(吃-6, 二-1)
cop(吃-6, 是-2)
loc(吃-6, 开机-3)
case(开机-3, 后-4)
advmod(吃-6, 有点-5)
root(ROOT-0, 吃-6)
dobj(吃-6, 流量-7)
nsubj(上网-11, 建议-9)
neg(上网-11, 不-10)
loc(关-16, 上网-11)
case(上网-11, 时-12)
ba(关-16, 把-13)
nummod(网-15, 3G-14)
nsubj(关-16, 网-15)
conj(吃-6, 关-16)
asp(关-16, 了-17)
cc(关-16, 且-19)
neg(影响-21, 不-20)
dep(关-16, 影响-21)
dobj(影响-21, 通话-22)
nsubj(走-27, 这样-24)
advmod(走-27, 就-25)
neg(走-27, 不-26)
dep(吃-6, 走-27)
dobj(走-27, 流量-28)
dep(走-27, 了-29)

nummod(触控制-2, 2点-1)
nsubj(给力-7, 触控制-2)
dep(给力-7, 玩-3)
nn(游戏-5, 触控-4)
dobj(玩-3, 游戏-5)
neg(给力-7, 不-6)
root(ROOT-0, 给力-7)
advmod(选-15, 如果-9)
nsubj(选-15, 支持-10)
nummod(点-12, 4-11)
loc(选-15, 点-12)
case(点-12, 以上-13)
advmod(选-15, 触控-14)
dep(后悔-20, 选-15)
asp(选-15, 了-16)
det(机-18, 这-17)
dobj(选-15, 机-18)
neg(后悔-20, 不-19)
conj(给力-7, 后悔-20)

dep(毫安-2, 1500-1)
dep(必须-38, 毫安-2)
advmod(大-4, 这么-3)
assmod(电池-6, 大-4)
case(大-4, 的-5)
nsubj(必须-38, 电池-6)
case(显得-11, 用-7)
case(z1i-9, 在-8)
prep(显得-11, z1i-9)
case(z1i-9, 上-10)
prep(必须-38, 显得-11)
cop(用-16, 是-12)
advmod(用-16, 那么-13)
neg(用-16, 不-14)
advmod(用-16, 够-15)
relcl(话-21, 用-16)
dep(用-16, 玩-18)
dobj(玩-18, 游戏-19)
mark(用-16, 的-20)
dobj(显得-11, 话-21)
advmod(常备-33, 也-22)
case(小时-26, 就-23)
nummod(个-25, 5-24)
clf(小时-26, 个-25)
prep(常备-33, 小时-26)
case(小时-26, 左右-27)
nn(爱好者-30, 游戏-29)
assmod(话-32, 爱好者-30)
case(爱好者-30, 的-31)
nsubj(常备-33, 话-32)
dep(显得-11, 常备-33)
nummod(块-35, 几-34)
clf(电池-36, 块-35)
dobj(常备-33, 电池-36)
cop(必须-38, 是-37)
root(ROOT-0, 必须-38)
dep(必须-38, 的-39)

amod(颜色-7, 红色-1)
cc(红色-1, 与-2)
dep(红色-1, 绿色-3)
det(颜色-7, 这-4)
nummod(个-6, 两-5)
dep(这-4, 个-6)
nsubj(喜欢-10, 颜色-7)
advmod(喜欢-10, 都-8)
neg(喜欢-10, 不-9)
root(ROOT-0, 喜欢-10)
conj(黑白-17, 俗气-12)
dep(黑白-17, 去粗取精-14)
dep(黑白-17, 整个-16)
nn(色-19, 黑白-17)
amod(色-19, 经典-18)
nsubj(行-21, 色-19)
advmod(行-21, 也-20)
conj(喜欢-10, 行-21)
advmod(有-26, 可能-23)
advmod(有-26, 后续-24)
mmod(有-26, 会-25)
dep(喜欢-10, 有-26)
dep(有-26, 吧-27)

nsubj(觉得-2, 个人-1)
root(ROOT-0, 觉得-2)
nsubj(不错-5, 外观-3)
advmod(不错-5, 还-4)
ccomp(觉得-2, 不错-5)
advmod(觉得-8, 总-7)
dep(搭-14, 觉得-8)
advmod(盖-10, 后-9)
ccomp(觉得-8, 盖-10)
dobj(盖-10, 颜色-11)
neg(搭-14, 不-12)
advmod(搭-14, 太-13)
conj(不错-5, 搭-14)
advmod(好-21, 要是-16)
dep(好-21, 有-17)
det(黑-19, 全-18)
nsubj(好-21, 黑-19)
advmod(好-21, 就-20)
dep(觉得-2, 好-21)
dep(好-21, 了-22)

case(输入法-4, 自-1)
relcl(输入法-4, 带-2)
mark(带-2, 的-3)
prep(会-9, 输入法-4)
advmod(输入-6, 如果-5)
dep(会-9, 输入-6)
asp(输入-6, 过-7)
advmod(会-9, 快-8)
root(ROOT-0, 会-9)
dobj(会-9, 卡-10)
nsubj(下载-13, 建议-12)
dep(会-9, 下载-13)
ordmod(方-15, 第三-14)
clf(输入法-16, 方-15)
dobj(下载-13, 输入法-16)

nsubj(高-2, 价格-1)
root(ROOT-0, 高-2)
asp(高-2, 了-3)
dep(高-2, 点-4)
nn(价格-7, 期待-6)
nsubj(突破-8, 价格-7)
conj(高-2, 突破-8)
range(突破-8, 2200-9)

nsubj(进灰-3, 屏幕-1)
advmod(进灰-3, 容易-2)
root(ROOT-0, 进灰-3)
advmod(多-6, 那么-5)
relcl(缝隙-8, 多-6)
mark(多-6, 的-7)
nsubj(看-10, 缝隙-8)
conj(进灰-3, 看-10)
asp(看-10, 着-11)
dobj(看-10, 窝火-12)
advmod(买-16, 最好-14)
conj(买-16, 是-15)
cop(买-16, 是-15)
dep(怕-25, 买-16)
clf(套子-18, 个-17)
dobj(买-16, 套子-18)
case(戴-21, 给-19)
nsubj(戴-21, 他-20)
prep(怕-25, 戴-21)
case(戴-21, 上-22)
advmod(怕-25, 就-24)
conj(进灰-3, 怕-25)
ccomp(怕-25, 进-26)
dobj(进-26, 灰-27)

prtmod(登陆-2, 所-1)
relcl(QQ-4, 登陆-2)
mark(登陆-2, 的-3)
nsubj(说-5, QQ-4)
root(ROOT-0, 说-5)
cop(版-8, 是-6)
amod(版-8, 最新-7)
ccomp(说-5, 版-8)
nsubj(看-11, 我-10)
dep(说-5, 看-11)
det(QQ-13, 那个-12)
nsubj(2007-15, QQ-13)
cop(2007-15, 是-14)
dobj(看-11, 2007-15)
mark(2007-15, 的-16)
dep(看-11, 吧-17)
advmod(好-27, 只要-19)
nsubj(到-23, QQ-20)
mmod(到-23, 能-21)
mmod(到-23, 改进-22)
nsubj(好-27, 到-23)
range(到-23, 2010-24)
mark(到-23, 的-25)
advmod(好-27, 就-26)
dep(说-5, 好-27)
dep(好-27, 了-28)

relcl(CMOS-9, 希望-1)
nn(产品-3, 升级-2)
nsubj(采用-4, 产品-3)
ccomp(希望-1, 采用-4)
loc(采用-4, 更新-5)
case(更新-5, 一代-6)
mark(希望-1, 的-7)
nn(CMOS-9, 背照式-8)
nsubj(作为-22, CMOS-9)
case(感光元件-11, 作为-10)
prep(作为-22, 感光元件-11)
advmod(作为-22, 而-13)
dep(而-13, 不要-14)
dep(而-13, 继续-15)
rcomp(继续-15, 采购-16)
nn(淘汰-18, 日本-17)
nsubj(下来-19, 淘汰-18)
relcl(CCD-21, 下来-19)
mark(下来-19, 的-20)
dobj(继续-15, CCD-21)
root(ROOT-0, 作为-22)
dobj(作为-22, 感光元件-23)
nn(效果-27, 夜间-25)
nn(效果-27, 拍摄-26)
tmod(令-29, 效果-27)
advmod(令-29, 难以-28)
conj(作为-22, 令-29)
nsubj(忍受-31, 人-30)
ccomp(令-29, 忍受-31)

advmod(好-7, 如果-1)
nn(系统-3, 安卓-2)
nsubj(好-7, 系统-3)
mmod(好-7, 能-4)
mmod(好-7, 升级-5)
advmod(好-7, 最-6)
dep(升级-16, 好-7)
dep(好-7, 希望-9)
dobj(希望-9, 厂家-10)
mmod(看到-12, 能-11)
dep(希望-9, 看到-12)
dobj(看到-12, 点评-13)
prtmod(升级-16, 去-15)
root(ROOT-0, 升级-16)
dep(升级-16, 吧-17)

nsubj(呆板-3, 造型-1)
advmod(呆板-3, 比较-2)
root(ROOT-0, 呆板-3)
cc(呆板-3, 和-4)
dep(呆板-3, 老套-5)
advmod(适合-8, 比较-7)
dep(呆板-3, 适合-8)
nn(人士-14, 年龄段-9)
case(岁-12, 在-10)
nummod(岁-12, 30-11)
prep(人士-14, 岁-12)
case(岁-12, 以上-13)
dobj(适合-8, 人士-14)

nsubj(玩-2, 手机-1)
nsubj(建议-6, 玩-2)
dobj(玩-2, 游戏-3)
mark(玩-2, 的-4)
neg(建议-6, 不-5)
root(ROOT-0, 建议-6)
ccomp(建议-6, 购买-7)
nn(数量-10, 游戏-9)
nsubj(少-12, 数量-10)
advmod(少-12, 较-11)
conj(建议-6, 少-12)

nn(加载-2, 浏览器-1)
loc(处于-4, 加载-2)
case(加载-2, 时-3)
root(ROOT-0, 处于-4)
nn(状态-6, 锁死-5)
dobj(处于-4, 状态-6)
conj(处于-4, 希望-8)
advmod(改善-12, 以后-9)
mmod(改善-12, 能-10)
mmod(改善-12, 升级-11)
ccomp(希望-8, 改善-12)
det(bug-14, 此-13)
dobj(改善-12, bug-14)

root(ROOT-0, 没有-1)
dobj(没有-1, 主界面-2)
advmod(好-5, 最-4)
dvpmod(做-7, 好-5)
mark(好-5, 的-6)
conj(没有-1, 做-7)
clf(主界面-9, 个-8)
dobj(做-7, 主界面-9)
case(界面-14, 像-11)
assmod(界面-14, HTC-12)
case(HTC-12, 的-13)
prep(一样-15, 界面-14)
conj(没有-1, 一样-15)
conj(没有-1, 可以-17)
rcomp(可以-17, 华丽-18)
dep(可以-17, 一些-19)

nsubj(显-3, 软件-1)
advmod(显-3, 略-2)
root(ROOT-0, 显-3)
nummod(点-5, 少-4)
range(显-3, 点-5)
dep(基本-9, 有些-7)
advmod(基本-9, 最-8)
nsubj(满足-13, 基本-9)
case(基本-9, 的-10)
advmod(满足-13, 都-11)
advmod(满足-13, 无法-12)
conj(显-3, 满足-13)
advmod(有-21, 也许-15)
case(时间-20, 跟-16)
relcl(时间-20, 入-17)
dobj(入-17, 市-18)
mark(入-17, 的-19)
prep(有-21, 时间-20)
conj(显-3, 有-21)
nsubj(希望-25, 关系-22)
xsubj(多-27, 关系-22)
dep(希望-25, 吧-23)
dep(有-21, 希望-25)
advmod(多-27, 以后-26)
ccomp(希望-25, 多-27)
dep(多-27, 一些-28)

root(ROOT-0, 采用-1)
nn(卡-4, micro-2)
nn(卡-4, sim-3)
dobj(采用-1, 卡-4)
advmod(采用-9, 其实-6)
advmod(采用-9, 完全-7)
mmod(采用-9, 可以-8)
conj(采用-1, 采用-9)
nn(卡-12, 标准-10)
nn(卡-12, sim-11)
dobj(采用-9, 卡-12)
case(空间-16, 因为-14)
nn(空间-16, 内部-15)
prep(足够-18, 空间-16)
advmod(足够-18, 完全-17)
conj(采用-1, 足够-18)
neg(会-22, 不-20)
advmod(会-22, 太-21)
conj(采用-1, 会-22)
conj(手机-25, 影响-23)
cc(手机-25, 到-24)
assmod(布局-30, 手机-25)
case(手机-25, 的-26)
conj(布局-30, 设计-27)
cc(布局-30, 与-28)
nn(布局-30, 内件-29)
dobj(会-22, 布局-30)

nsubj(少-3, 软件-1)
advmod(少-3, 太-2)
root(ROOT-0, 少-3)
dep(需要-8, 目前-5)
advmod(需要-8, 最-6)
advmod(需要-8, 最-7)
nsubj(ＱＱ-12, 需要-8)
mark(需要-8, 的-9)
advmod(ＱＱ-12, 就-10)
cop(ＱＱ-12, 是-11)
conj(少-3, ＱＱ-12)
nsubj(解决-17, 这个-14)
mmod(解决-17, 应该-15)
advmod(解决-17, 先-16)
conj(少-3, 解决-17)

nsubj(棒-5, 机身-1)
mmod(棒-5, 做工-2)
advmod(棒-5, 也-3)
advmod(棒-5, 很-4)
root(ROOT-0, 棒-5)
advmod(外形-9, 如果-7)
cop(外形-9, 是-8)
dep(考虑-14, 外形-9)
conj(外形-9, 控-10)
dep(外形-9, 的-11)
mmod(考虑-14, 可以-13)
conj(棒-5, 考虑-14)
ccomp(考虑-14, 入手-15)

case(喜欢-6, 作为-1)
nsubj(喜欢-6, 女生-2)
advmod(喜欢-6, 可能-3)
mmod(喜欢-6, 会-4)
advmod(喜欢-6, 很-5)
prep(值得-15, 喜欢-6)
advmod(高-11, 但是-8)
nsubj(高-11, 性价比-9)
neg(高-11, 不-10)
conj(喜欢-6, 高-11)
loc(值得-15, 2000-13)
case(2000-13, 左右-14)
root(ROOT-0, 值得-15)
ccomp(值得-15, 入手-16)
loc(考虑-22, 3000-18)
case(3000-18, 以上-19)
advmod(考虑-22, 就-20)
advmod(考虑-22, 别-21)
dep(值得-15, 考虑-22)
asp(考虑-22, 了-23)

nn(行-2, 大陆-1)
assmod(价位-4, 行-2)
case(行-2, 的-3)
nsubj(高-6, 价位-4)
advmod(高-6, 太-5)
dep(超值-20, 高-6)
dep(高-6, 了-7)
advmod(到-12, 如果-9)
mmod(到-12, 能-10)
mmod(到-12, 降-11)
dep(超值-20, 到-12)
range(到-12, 2700-13)
det(手机-17, 这-15)
clf(这-15, 款-16)
nsubj(超值-20, 手机-17)
dvpmod(超值-20, 绝对-18)
mark(绝对-18, 的-19)
root(ROOT-0, 超值-20)

nsubj(用-6, 电池-1)
loc(用-6, 相对-2)
case(相对-2, 来说-3)
neg(用-6, 不-4)
advmod(用-6, 够-5)
root(ROOT-0, 用-6)
advmod(配-10, 要是-8)
mmod(配-10, 能-9)
dep(好-15, 配-10)
nummod(块-12, 两-11)
clf(电池-13, 块-12)
dobj(配-10, 电池-13)
advmod(好-15, 更-14)
conj(用-6, 好-15)
advmod(使用-18, 方便-17)
conj(用-6, 使用-18)

advmod(待-4, 还有-1)
advmod(待-4, 就-2)
conj(待-4, 是-3)
cop(待-4, 是-3)
root(ROOT-0, 待-4)
dobj(待-4, 机-5)
dep(待-4, 可-6)
dobj(可-6, 圈-7)
conj(可-6, 可-8)
dobj(可-8, 点-9)
dep(可-6, 需要-11)
amod(巡航-14, 长-12)
nn(巡航-14, 时间-13)
dobj(需要-11, 巡航-14)
conj(需要-11, 请-15)
nummod(......-19, 多-16)
amod(......-19, 备用-17)
nn(......-19, 电池-18)
dobj(请-15, ......-19)

nsubj(操作-3, 屏幕-1)
advmod(操作-3, 乱-2)
root(ROOT-0, 操作-3)
nsubj(还原-17, 它-5)
nsubj(还原-17, 自己-6)
ba(还原-17, 把-7)
nsubj(还原-17, 系统-8)
dep(还原-17, 弄-9)
