advmod(接-2, 有时-1)
relcl(性能-10, 估计-4)
cop(cpu-6, 是-5)
ccomp(估计-4, cpu-6)
mark(估计-4, 的-7)
conj(性能-10, 频率-8)
cc(性能-10, 和-9)
nsubj(提升-11, 性能-10)
dep(大-18, 提升-11)
asp(提升-11, 了-12)
advmod(耗电量-14, 所以-13)
dobj(提升-11, 耗电量-14)
advmod(大-18, 也-15)
mmod(大-18, 会-16)
mmod(大-18, 变-17)
conj(大-2, 大-18)

nsubj(清晰-2, 通话-1)
root(ROOT-0, 清晰-2)
nn(技术-5, 丽音-4)
nsubj(使得-6, 技术-5)
conj(清晰-2, 使得-6)
nn(质量-8, 通话-7)
dep(有-9, 质量-8)
ccomp(使得-6, 有-9)
asp(有-9, 了-10)
dobj(有-9, 保障-11)

root(ROOT-0, 开机-1)
dobj(开机-1, 内存-2)
mmod(巨大-4, 占用-3)
conj(开机-1, 巨大-4)
advmod(巨大-4, 无比-5)
nn(程序-9, BLUR-7)
nn(程序-9, 账户-8)
nsubj(出毛病-11, 程序-9)
xsubj(更新-15, 程序-9)
advmod(出毛病-11, 随时-10)
dep(开机-1, 出毛病-11)
dep(出毛病-11, 导致-13)
advmod(更新-15, 无法-14)
ccomp(导致-13, 更新-15)
cc(更新-15, 和-16)
conj(更新-15, 换卡-17)
cc(出毛病-11, 而且-19)
case(插件-21, 因为-20)
prep(占据-25, 插件-21)
advmod(占据-25, 太-22)
advmod(占据-25, 多-23)
advmod(占据-25, 总是-24)
dep(出毛病-11, 占据-25)
assmod(RAM-29, 一半-26)
case(一半-26, 以上-27)
case(一半-26, 的-28)
dobj(占据-25, RAM-29)

nsubj(给力-3, 电池-1)
neg(给力-3, 不-2)
relcl(原因-5, 给力-3)
mark(给力-3, 的-4)
nsubj(有-7, 原因-5)
advmod(有-7, 只-6)
root(ROOT-0, 有-7)
dep(有-7, 一个-8)
nsubj(导致-12, 信号-10)
mmod(导致-12, 不行-11)
conj(有-7, 导致-12)
dobj(导致-12, 手机-13)
advmod(发射-19, 老-14)
case(功率-18, 用-15)
advmod(大-17, 最-16)
amod(功率-18, 大-17)
prep(发射-19, 功率-18)
dep(导致-12, 发射-19)
dobj(发射-19, 信号-20)
dep(发射-19, 耗电-22)
nummod(利害-26, 很多-23)
advmod(辐射-25, 又-24)
amod(利害-26, 辐射-25)
dobj(耗电-22, 利害-26)
advmod(建议-29, 所以-28)
conj(发射-19, 建议-29)
nsubj(召回-32, 诺基亚-30)
advmod(召回-32, 马上-31)
ccomp(建议-29, 召回-32)
det(机-34, 这-33)
dobj(召回-32, 机-34)
ba(搞好-38, 把-36)
nsubj(搞好-38, 信号-37)
conj(发射-19, 搞好-38)
asp(搞好-38, 了-39)
advmod(上市-41, 再-40)
dobj(搞好-38, 上市-41)

nn(外壳-2, 金属-1)
assmod(缘故-4, 外壳-2)
case(外壳-2, 的-3)
nsubj(利于-6, 缘故-4)
root(ROOT-0, 利于-6)
dobj(利于-6, 散热-7)
nummod(手机-12, 一-9)
relcl(手机-12, 搬-10)
mark(搬-10, 的-11)
nsubj(外壳-17, 手机-12)
advmod(外壳-17, 都-13)
cop(外壳-17, 是-14)
assmod(外壳-17, 塑料-15)
case(塑料-15, 的-16)
conj(利于-6, 外壳-17)
advmod(传-25, 所以-19)
nn(发热-21, 内部-20)
nsubj(传-25, 发热-21)
dep(传-25, 了-22)
neg(传-25, 不-23)
advmod(传-25, 容易-24)
conj(利于-6, 传-25)
case(机身-27, 到-26)
prep(传-25, 机身-27)
case(机身-27, 外-28)

neg(阻止-8, 不-1)
auxpass(阻止-8, 受-2)
nn(钢能-7, 灰尘-3)
conj(钢能-7, 影响-4)
nn(钢能-7, 非穿透-6)
nsubj(阻止-8, 钢能-7)
root(ROOT-0, 阻止-8)
nsubj(进入-10, 微粒子-9)
ccomp(阻止-8, 进入-10)

nn(机身-3, 金属-1)
nn(机身-3, 材质-2)
nsubj(生锈-7, 机身-3)
advmod(生锈-7, 所以-5)
advmod(生锈-7, 容易-6)
root(ROOT-0, 生锈-7)
nsubj(生锈-12, 我-9)
case(我-9, 的-10)
advmod(生锈-12, 已经-11)
conj(生锈-7, 生锈-12)
asp(生锈-12, 了-13)
assmod(感觉-17, 脏脏-15)
case(脏脏-15, 的-16)
dobj(生锈-12, 感觉-17)

nsubj(支持-3, 相机-1)
neg(支持-3, 不-2)
root(ROOT-0, 支持-3)
prep(遗憾-12, 自动-4)
case(焦-6, 对-5)
dep(自动-4, 焦-6)
nsubj(遗憾-12, 这-8)
cop(遗憾-12, 是-9)
nummod(遗憾-12, 一个-10)
nn(遗憾-12, 小小的-11)
ccomp(支持-3, 遗憾-12)
advmod(困难-23, 所以-14)
nsubj(小于-16, 微距-15)
loc(困难-23, 小于-16)
nummod(厘米-18, 40-17)
clf(范围-19, 厘米-18)
dobj(小于-16, 范围-19)
case(小于-16, 内-20)
mmod(困难-23, 拍摄-21)
advmod(困难-23, 比较-22)
conj(支持-3, 困难-23)

nn(电池-2, 非正品-1)
nsubj(导致-3, 电池-2)
root(ROOT-0, 导致-3)
nsubj(识别-6, 机器-4)
advmod(识别-6, 无法-5)
relcl(几率-10, 识别-6)
cc(识别-6, 和-7)
conj(识别-6, 充电-8)
mark(识别-6, 的-9)
nsubj(大-12, 几率-10)
advmod(大-12, 较-11)
ccomp(导致-3, 大-12)

nummod(英寸-2, 4.0-1)
clf(屏幕-4, 英寸-2)
nn(屏幕-4, AMOLED-3)
nsubj(采用-12, 屏幕-4)
nsubj(采用-12, 分辨率-6)
case(级别-9, 为-7)
nn(级别-9, nHD-8)
prep(采用-12, 级别-9)
advmod(采用-12, 同时-11)
root(ROOT-0, 采用-12)
asp(采用-12, 了-13)
nn(技术-15, Clearblack-14)
dobj(采用-12, 技术-15)
conj(采用-12, 提高-16)
amod(可见度-18, 户外-17)
dobj(提高-16, 可见度-18)
nn(表现力-21, 屏幕-20)
nsubj(不错-22, 表现力-21)
conj(采用-12, 不错-22)

nsubj(反映-2, 有人-1)
root(ROOT-0, 反映-2)
dobj(反映-2, 死机-3)
nsubj(造成-13, 这个-5)
cop(造成-13, 是-6)
case(慢-12, 由于-7)
case(带-9, 自-8)
prep(慢-12, 带-9)
nn(速度-11, 内存卡-10)
dobj(带-9, 速度-11)
prep(造成-13, 慢-12)
conj(反映-2, 造成-13)
mark(造成-13, 的-14)
mmod(解决-19, 可以-16)
case(换卡-18, 通过-17)
prep(解决-19, 换卡-18)
conj(反映-2, 解决-19)

nsubj(设计-2, 喇叭-1)
root(ROOT-0, 设计-2)
nn(错误-4, 位置-3)
dobj(设计-2, 错误-4)
conj(设计-2, 造成-6)
dobj(造成-6, 铃声-7)
dep(造成-6, 小-8)
nn(声音-12, 外放-10)
nn(声音-12, 音乐-11)
nsubj(小-13, 声音-12)
conj(设计-2, 小-13)
advmod(接-18, 经常-15)
mmod(接-18, 会-16)
mmod(接-18, 漏-17)
conj(设计-2, 接-18)
conj(短信-22, 电话-19)
cc(短信-22, 和-20)
nn(短信-22, 回复-21)
dobj(接-18, 短信-22)

nsubj(暗忽亮-3, 屏幕-1)
advmod(暗忽亮-3, 忽-2)
root(ROOT-0, 暗忽亮-3)
advmod(原因-8, 据说-5)
cop(原因-8, 是-6)
nn(原因-8, 光感-7)
conj(暗忽亮-3, 原因-8)
advmod(喜欢-14, 反正-10)
nsubj(喜欢-14, 我-11)
neg(喜欢-14, 不-12)
advmod(喜欢-14, 太-13)
conj(暗忽亮-3, 喜欢-14)

case(没-4, 由于-1)
nsubj(没-4, 上市-2)
advmod(没-4, 并-3)
prep(完善-12, 没-4)
dobj(没-4, 多久-5)
assmod(软件-9, N9-7)
case(N9-7, 的-8)
nsubj(完善-12, 软件-9)
advmod(完善-12, 并-10)
neg(完善-12, 不-11)
root(ROOT-0, 完善-12)
advmod(购买-21, 所以-14)
neg(追求-17, 不-15)
mmod(追求-17, 推荐-16)
relcl(用户-20, 追求-17)
dobj(追求-17, 应用-18)
mark(追求-17, 的-19)
nsubj(购买-21, 用户-20)
conj(完善-12, 购买-21)

case(空前绝-4, 由于-1)
det(空前绝-4, 这个-2)
nn(空前绝-4, 系统-3)
prep(多-16, 空前绝-4)
case(空前绝-4, 后-5)
advmod(足够-11, 虽然-7)
amod(软件-9, 功能性-8)
nsubj(足够-11, 软件-9)
advmod(足够-11, 已经-10)
dep(多-16, 足够-11)
advmod(多-16, 但是-13)
nsubj(多-16, 游戏-14)
neg(多-16, 不-15)
root(ROOT-0, 多-16)
relcl(人-23, 想-18)
advmod(玩-20, 专门-19)
ccomp(想-18, 玩-20)
dobj(玩-20, 游戏-21)
mark(想-18, 的-22)
nsubj(合适-26, 人-23)
neg(合适-26, 不-24)
advmod(合适-26, 太-25)
conj(多-16, 合适-26)

mmod(原因-7, 应该-1)
cop(原因-7, 是-2)
nn(冷门-5, 系统-3)
det(冷门-5, 有些-4)
assmod(原因-7, 冷门-5)
case(冷门-5, 的-6)
root(ROOT-0, 原因-7)
relcl(软件-11, 支持-9)
mark(支持-9, 的-10)
nsubj(多-14, 软件-11)
advmod(多-14, 并-12)
neg(多-14, 不-13)
dep(原因-7, 多-14)

case(系统-4, 由于-1)
cop(系统-4, 是-2)
nn(系统-4, 冷门-3)
prep(少-9, 系统-4)
relcl(软件-8, 支持-6)
mark(支持-6, 的-7)
nsubj(少-9, 软件-8)
root(ROOT-0, 少-9)
nsubj(高-13, 可玩性-11)
neg(高-13, 不-12)
conj(少-9, 高-13)

nn(距离-4, 里程碑-1)
nummod(距离-4, 2-2)
nn(距离-4, 屏幕-3)
nsubj(间隙-5, 距离-4)
root(ROOT-0, 间隙-5)
asp(间隙-5, 过-6)
amod(进灰-9, 大-7)
amod(进灰-9, 容易-8)
dobj(间隙-5, 进灰-9)
nsubj(好-19, 触感-11)
advmod(好-19, 也-12)
case(体验-16, 由于-13)
det(体验-16, 这个-14)
nn(体验-16, 原因-15)
prep(好-19, 体验-16)
neg(好-19, 不-17)
cop(好-19, 是-18)
conj(间隙-5, 好-19)
comod(好-19, 舒适-20)

nsubj(自拍-4, 近景-1)
advmod(自拍-4, 比如-3)
root(ROOT-0, 自拍-4)
dep(自拍-4, 会-6)
case(没有-8, 因为-7)
prep(会-6, 没有-8)
advmod(差-13, 自动-9)
case(焦-11, 对-10)
prep(差-13, 焦-11)
prtmod(差-13, 而-12)
dep(没有-8, 差-13)
range(差-13, 一点-14)

det(手机-2, 这-1)
nsubj(爱-4, 手机-2)
nsubj(爱-4, 我-3)
dep(良好-22, 爱-4)
dep(爱-4, 啊-5)
loc(爽-10, 刷贝拉-7)
case(刷贝拉-7, 以后-8)
advmod(爽-10, 很-9)
dep(良好-22, 爽-10)
dep(爽-10, 的-11)
case(设计-18, 由于-13)
relcl(设计-18, 采用-14)
dobj(采用-14, 半坡度-15)
mark(采用-14, 的-16)
nn(设计-18, 侧滑-17)
prep(良好-22, 设计-18)
nn(体验-21, 视觉-20)
nsubj(良好-22, 体验-21)
root(ROOT-0, 良好-22)

assmod(数量-4, MeeGo-1)
case(MeeGo-1, 的-2)
nn(数量-4, 应用-3)
nsubj(伤-7, 数量-4)
cop(伤-7, 是-5)
amod(伤-7, 硬-6)
root(ROOT-0, 伤-7)
conj(伤-7, 要-9)
dobj(要-9, 剪卡-10)
case(系统-14, 基于-12)
nn(系统-14, LINUX-13)
prep(带-17, 系统-14)
advmod(带-17, 却-15)
neg(带-17, 没-16)
conj(伤-7, 带-17)
nummod(键盘-19, 一个-18)
dobj(带-17, 键盘-19)
conj(伤-7, 导致-21)
nummod(应用-24, 很多-22)
nn(应用-24, LINUX-23)
nsubj(移植-27, 应用-24)
advmod(移植-27, 也-25)
advmod(移植-27, 没法-26)
ccomp(导致-21, 移植-27)

root(ROOT-0, 可能-1)
assmod(原因-4, 改卡机-2)
case(改卡机-2, 的-3)
dobj(可能-1, 原因-4)
nsubj(不好-8, 信号-6)
advmod(不好-8, 很-7)
conj(可能-1, 不好-8)
nn(质量-11, 通话-10)
nsubj(差-12, 质量-11)
conj(可能-1, 差-12)
advmod(有-17, 每次-14)
mmod(有-17, 打电话-15)
advmod(有-17, 都-16)
conj(可能-1, 有-17)
dobj(有-17, 杂音-18)
nsubj(断断续续-23, 声音-20)
advmod(断断续续-23, 也-21)
cop(断断续续-23, 是-22)
conj(可能-1, 断断续续-23)
mark(断断续续-23, 的-24)
advmod(烦-27, 很-26)
conj(可能-1, 烦-27)

root(ROOT-0, 热-1)
assmod(热-6, 真-3)
case(真-3, 的-4)
amod(热-6, 超级-5)
nsubj(充-12, 热-6)
nsubj(充-12, 该本-8)
advmod(充-12, 就-9)
neg(充-12, 不-10)
mmod(充-12, 能-11)
conj(热-1, 充-12)
asp(充-12, 着-13)
dobj(充-12, 电-14)
conj(充-12, 玩-15)
dobj(玩-15, 游戏-16)
nsubj(烫-20, 屏幕-18)
advmod(烫-20, 超级-19)
conj(热-1, 烫-20)
advmod(下降-32, 而后-22)
case(问题-26, 由于-23)
assmod(问题-26, 温度-24)
case(温度-24, 的-25)
prep(下降-32, 问题-26)
assmod(灵敏度-30, 触摸屏-28)
case(触摸屏-28, 的-29)
nsubj(下降-32, 灵敏度-30)
advmod(下降-32, 直线-31)
conj(热-1, 下降-32)

case(改卡机-3, 由于-1)
cop(改卡机-3, 是-2)
prep(有-8, 改卡机-3)
advmod(有-8, 所以-5)
nn(下方-7, 后盖-6)
dep(有-8, 下方-7)
root(ROOT-0, 有-8)
clf(不严-11, 个-9)
nn(不严-11, 角盖-10)
dobj(有-8, 不严-11)

case(大-4, 由于-1)
nsubj(大-4, 屏幕-2)
advmod(大-4, 太-3)
prep(有-8, 大-4)
nsubj(有-8, 电池-6)
advmod(有-8, 只-7)
root(ROOT-0, 有-8)
dep(有-8, 1390-9)
nn(能力-12, 续航-11)
nsubj(好-15, 能力-12)
neg(好-15, 不-13)
advmod(好-15, 太-14)
conj(有-8, 好-15)
nfincl(充-24, 玩机-17)
relcl(话-20, 多-18)
mark(多-18, 的-19)
dobj(玩机-17, 话-20)
nummod(天-22, 一-21)
clf(充-24, 天-22)
nummod(充-24, 一-23)
nsubj(必须-26, 充-24)
cop(必须-26, 是-25)
conj(有-8, 必须-26)
mark(必须-26, 的-27)

nn(设计-3, SIM-1)
nn(设计-3, 位置-2)
nsubj(合理-6, 设计-3)
neg(合理-6, 不-4)
advmod(合理-6, 太-5)
root(ROOT-0, 合理-6)
advmod(导致-9, 易-8)
conj(合理-6, 导致-9)
dobj(导致-9, 死机-10)

case(手机-4, 由于-1)
cop(手机-4, 是-2)
nn(手机-4, 翻盖-3)
prep(可以-18, 手机-4)
conj(手机-4, 可以-6)
amod(触动键-9, 有效-7)
nn(触动键-9, 防误-8)
dobj(可以-6, 触动键-9)
conj(手机-4, 避免-11)
asp(避免-11, 了-12)
dobj(避免-11, 显示屏-13)
advmod(亮-15, 常-14)
dep(避免-11, 亮-15)
nsubj(可以-18, 这-17)
root(ROOT-0, 可以-18)
amod(电-21, 进一步-19)
nn(电-21, 省-20)
dobj(可以-18, 电-21)
mmod(人性化-25, 设置-23)
advmod(人性化-25, 很-24)
conj(可以-18, 人性化-25)

case(频幕-2, 因为-1)
prep(可以-21, 频幕-2)
amod(电-5, 大-3)
nn(电-5, 费-4)
dobj(频幕-2, 电-5)
relcl(时候-10, 聊-7)
dobj(聊-7, QQ-8)
mark(聊-7, 的-9)
nsubj(可以-21, 时候-10)
advmod(没-13, 不一会儿-11)
advmod(没-13, 就-12)
dep(可以-21, 没-13)
dobj(没-13, 电-14)
dep(没-13, 了-15)
advmod(可以-21, 但-17)
advmod(可以-21, 平时-18)
advmod(可以-21, 待机-19)
advmod(可以-21, 还-20)
root(ROOT-0, 可以-21)

advmod(标配版-2, 但是-1)
relcl(它-4, 标配版-2)
mark(标配版-2, 的-3)
nsubj(支持-6, 它-4)
neg(支持-6, 不-5)
root(ROOT-0, 支持-6)
prep(支持-6, 自动-7)
case(焦-9, 对-8)
dep(自动-7, 焦-9)
neg(拍摄-18, 不-11)
mmod(拍摄-18, 能-12)
case(焦-14, 对-13)
prep(拍摄-18, 焦-14)
advmod(拍摄-18, 就-15)
advmod(拍摄-18, 无法-16)
mmod(拍摄-18, 微距-17)
dep(支持-6, 拍摄-18)
advmod(导致-21, 进而-20)
dep(支持-6, 导致-21)
amod(文件-23, 相关-22)
nn(内容-24, 文件-23)
nn(共享-39, 内容-24)
advmod(作业-27, 比如-26)
prnmod(内容-24, 作业-27)
advmod(大-30, 无法-29)
amod(范围-31, 大-30)
assmod(共享-39, 范围-31)
advmod(距离-34, 远-33)
conj(范围-31, 距离-34)
amod(效率-37, 高-36)
dep(范围-31, 效率-37)
case(范围-31, 的-38)
dobj(导致-21, 共享-39)

nn(程序-2, 应用-1)
nsubj(打-14, 程序-2)
neg(打-14, 不-3)
mmod(打-14, 能-4)
advmod(打-14, 同时-5)
case(卡机-10, 用-6)
advmod(卡机-10, 太-7)
advmod(卡机-10, 多-8)
advmod(卡机-10, 容易-9)
prep(打-14, 卡机-10)
dep(卡机-10, 发-12)
dobj(发-12, 信息-13)
dep(跟不上-20, 打-14)
nummod(个-16, 三四-15)
clf(字-17, 个-16)
dobj(打-14, 字-17)
advmod(跟不上-20, 就-18)
advmod(跟不上-20, 有点-19)
root(ROOT-0, 跟不上-20)
mmod(默认-23, 恢复-22)
relcl(主题-33, 默认-23)
advmod(OK-25, 就-24)
ccomp(默认-23, OK-25)
asp(OK-25, 了-26)
dep(OK-25, 估计-28)
cop(应用-31, 是-29)
nn(应用-31, 下载-30)
ccomp(估计-28, 应用-31)
mark(默认-23, 的-32)
nsubj(造成-36, 主题-33)
advmod(造成-36, 太-34)
advmod(造成-36, 大-35)
dep(跟不上-20, 造成-36)

nsubj(启-4, 死机-1)
advmod(启-4, 重-3)
root(ROOT-0, 启-4)
advmod(有-14, 卡机-6)
advmod(常见-10, 虽然-8)
neg(常见-10, 不-9)
dep(有-14, 常见-10)
advmod(有-14, 但-12)
advmod(有-14, 绝对-13)
conj(启-4, 有-14)
asp(有-14, 过-15)
advmod(原因-24, 不过-17)
nsubj(原因-24, 这-18)
advmod(原因-24, 也许-19)
cop(原因-24, 是-20)
amod(系统-22, 新-21)
assmod(原因-24, 系统-22)
case(系统-22, 的-23)
conj(启-4, 原因-24)
case(我-27, 因为-26)
prep(用-29, 我-27)
case(我-27, 之前-28)
nsubj(见-35, 用-29)
mark(用-29, 的-30)
nummod(S60V5-33, S60V3-31)
nsubj(见-35, S60V5-33)
neg(见-35, 没-34)
conj(启-4, 见-35)
asp(见-35, 过-36)
nn(情况-38, 这种-37)
dobj(见-35, 情况-38)

advmod(超大-2, 还有-1)
assmod(原件-5, 超大-2)
case(超大-2, 的-3)
nn(原件-5, 感光-4)
nsubj(使-8, 原件-5)
xsubj(出-21, 原件-5)
nsubj(使-8, 这样-7)
xsubj(出-21, 这样-7)
root(ROOT-0, 使-8)
range(使-8, N8-9)
mmod(出-21, 可以-10)
case(情况-16, 在-11)
nsubj(低-14, 光线-12)
advmod(低-14, 较-13)
relcl(情况-16, 低-14)
mark(低-14, 的-15)
prep(出-21, 情况-16)
case(情况-16, 下-17)
advmod(出-21, 也-18)
mmod(出-21, 能-19)
mmod(出-21, 拍-20)
dep(使-8, 出-21)
assmod(照片-24, 优质-22)
case(优质-22, 的-23)
dobj(出-21, 照片-24)

dep(手机-7, 降价-1)
case(降价-1, 后-2)
advmod(3000-4, 依然-3)
nummod(大元-5, 3000-4)
assmod(手机-7, 大元-5)
case(大元-5, 的-6)
assmod(cpu-9, 手机-7)
case(手机-7, 的-8)
nsubj(是-11, cpu-9)
advmod(是-11, 竟然-10)
root(ROOT-0, 是-11)
dep(是-11, 680mhz-12)
neg(黑-19, 不-14)
cop(黑-19, 是-15)
case(诺基亚-17, 因为-16)
prep(黑-19, 诺基亚-17)
advmod(黑-19, 太-18)
conj(是-11, 黑-19)
cop(开发-25, 是-21)
nn(系统-23, 塞班-22)
nsubj(开发-25, 系统-23)
advmod(开发-25, 压根-24)
conj(是-11, 开发-25)
neg(需要-28, 不-26)
mmod(需要-28, 出来-27)
relcl(软件-32, 需要-28)
amod(处理器-30, 高-29)
dobj(需要-28, 处理器-30)
mark(需要-28, 的-31)
dobj(开发-25, 软件-32)
advmod(落伍-38, 也就是说-34)
dep(三-36, 塞班-35)
nsubj(落伍-38, 三-36)
advmod(落伍-38, 已经-37)
conj(是-11, 落伍-38)
dep(落伍-38, 了-39)

nummod(全景幅-3, 1200万-1)
nn(全景幅-3, 照相机-2)
nsubj(拍摄-4, 全景幅-3)
root(ROOT-0, 拍摄-4)
advmod(慢-13, 但-6)
case(时候-11, 在-7)
relcl(时候-11, 放大-8)
dobj(放大-8, 照片-9)
mark(放大-8, 的-10)
prep(慢-13, 时候-11)
nsubj(慢-13, 反应-12)
dep(拍摄-4, 慢-13)
advmod(慢-13, 一点-14)
advmod(像素-18, 可能-16)
conj(像素-18, 是-17)
cop(像素-18, 是-17)
dep(拍摄-4, 像素-18)
rcomp(像素-18, 高-19)
case(CPU-21, 跟-20)
assmod(原因-23, CPU-21)
case(CPU-21, 的-22)
dobj(像素-18, 原因-23)
dep(像素-18, 吧-24)

nn(屏幕-2, 滑动-1)
loc(可以-7, 屏幕-2)
case(屏幕-2, 时-3)
nn(速度-5, 反应-4)
nsubj(可以-7, 速度-5)
advmod(可以-7, 还-6)
root(ROOT-0, 可以-7)
case(此机-10, 因为-9)
assmod(主频-12, 此机-10)
case(此机-10, 的-11)
nsubj(有限-13, 主频-12)
conj(可以-7, 有限-13)

advmod(会-2, 有时候-1)
root(ROOT-0, 会-2)
dobj(会-2, 卡-3)
dep(会-2, 估计-5)
cop(原因-11, 是-6)
nsubj(大-9, 程序-7)
advmod(大-9, 太-8)
relcl(原因-11, 大-9)
mark(大-9, 的-10)
ccomp(估计-5, 原因-11)

case(芯片-6, 由于-1)
neg(独立-3, 没有-2)
assmod(芯片-6, 独立-3)
case(独立-3, 的-4)
nn(芯片-6, 解码-5)
prep(少-14, 芯片-6)
nsubj(播放-9, 视频-8)
relcl(格式-12, 播放-9)
dobj(播放-9, 支持-10)
mark(播放-9, 的-11)
nsubj(少-14, 格式-12)
advmod(少-14, 太-13)
root(ROOT-0, 少-14)
asp(少-14, 了-15)

advmod(满意-2, 很-1)
root(ROOT-0, 满意-2)
nn(距离-6, 中-4)
amod(距离-6, 近-5)
conj(相机-8, 距离-6)
cc(相机-8, 和-7)
nsubj(差不多-9, 相机-8)
conj(满意-2, 差不多-9)
case(没有-12, 因为-11)
prep(吃力-20, 没有-12)
amod(镜头-14, 伸缩-13)
nsubj(远-16, 镜头-14)
advmod(远-16, 可能-15)
dep(没有-12, 远-16)
nsubj(吃力-20, 距离-17)
advmod(吃力-20, 就-18)
advmod(吃力-20, 比较-19)
conj(满意-2, 吃力-20)
advmod(吃力-20, 一点-21)
nsubj(级别-27, 微距-23)
advmod(级别-27, 绝对-24)
cop(级别-27, 是-25)
nn(级别-27, 逆天-26)
dep(吃力-20, 级别-27)
dep(级别-27, 的-28)

case(有-2, 由于-1)
prep(消失-10, 有-2)
nn(感应-4, 光-3)
dobj(有-2, 感应-4)
loc(消失-10, 放到-6)
dobj(放到-6, 口袋-7)
case(放到-6, 里-8)
advmod(消失-10, 屏保-9)
root(ROOT-0, 消失-10)
dep(消失-10, 省-12)
dobj(省-12, 电-13)

nn(软件-2, 应用-1)
nsubj(慢-25, 软件-2)
case(有-4, 因为-3)
prep(慢-25, 有-4)
assmod(底子-7, s60v5-5)
case(s60v5-5, 的-6)
nsubj(更新-23, 底子-7)
case(塞班-16, 在-8)
advmod(塞班-16, 所以-9)
advmod(塞班-16, 更-10)
cop(塞班-16, 是-11)
dep(塞班-16, 有-12)
dep(塞班-16, 得-13)
conj(塞班-16, 是-14)
cop(塞班-16, 是-14)
prep(更新-23, 塞班-16)
dobj(塞班-16, 资源-17)
cc(塞班-16, 并-18)
neg(匮乏-20, 不-19)
dep(塞班-16, 匮乏-20)
advmod(更新-23, 只是-22)
dep(有-4, 更新-23)
dobj(更新-23, 速度-24)
root(ROOT-0, 慢-25)
dep(慢-25, 而已-26)

case(使用-2, 在-1)
assmod(时候-4, 使用-2)
case(使用-2, 的-3)
nsubj(导致-11, 时候-4)
advmod(导致-11, 如果-5)
case(擦拭-8, 用-6)
nsubj(擦拭-8, 眼镜布-7)
prep(导致-11, 擦拭-8)
dobj(擦拭-8, 屏幕-9)
mmod(导致-11, 会-10)
root(ROOT-0, 导致-11)
dobj(导致-11, 触摸屏-12)
advmod(失灵-14, 暂时-13)
dep(导致-11, 失灵-14)

nsubj(减少-7, 得益-1)
case(闪光灯-4, 于-2)
nn(闪光灯-4, 氙气-3)
prep(减少-7, 闪光灯-4)
advmod(减少-7, 大大-6)
root(ROOT-0, 减少-7)
asp(减少-7, 了-8)
nn(时间-10, 曝光-9)
dobj(减少-7, 时间-10)
nsubj(利落-14, 成像-12)
advmod(利落-14, 十分-13)
conj(减少-7, 利落-14)

nn(质量-2, 整机-1)
nsubj(大-4, 质量-2)
neg(大-4, 不-3)
root(ROOT-0, 大-4)
nsubj(轻巧-8, 感觉-6)
advmod(轻巧-8, 很-7)
conj(大-4, 轻巧-8)
case(材质-14, 因为-10)
nn(套筒-12, 镜头-11)
assmod(材质-14, 套筒-12)
case(套筒-12, 的-13)
prep(金属-17, 材质-14)
neg(金属-17, 不-15)
cop(金属-17, 是-16)
nsubj(减轻-22, 金属-17)
mark(金属-17, 的-18)
advmod(减轻-22, 所以-20)
mmod(减轻-22, 会-21)
conj(大-4, 减轻-22)
dobj(减轻-22, 重量-23)
neg(沉重-33, 不-25)
case(天语-27, 像-26)
assmod(手机-31, 天语-27)
case(天语-27, 的-28)
nn(手机-31, 光变-29)
nn(手机-31, 拍照-30)
nsubj(沉重-33, 手机-31)
advmod(沉重-33, 那样-32)
conj(大-4, 沉重-33)

case(分辨率-2, 由于-1)
prep(特殊-3, 分辨率-2)
root(ROOT-0, 特殊-3)
relcl(软件-7, 支持-5)
mark(支持-5, 的-6)
nsubj(....-10, 软件-7)
advmod(....-10, 很-8)
advmod(....-10, 少-9)
dep(特殊-3, ....-10)

nsubj(有-3, 屏保-1)
root(ROOT-0, 有-3)
dobj(有-3, 屏保-4)
advmod(手机-14, 但-6)
advmod(手机-14, 也-7)
cop(手机-14, 是-8)
amod(手机-14, 唯一-9)
neg(需要-11, 不-10)
relcl(手机-14, 需要-11)
dobj(需要-11, 屏保-12)
mark(需要-11, 的-13)
conj(有-3, 手机-14)
case(力度-18, 因为-16)
nn(力度-18, 按键-17)
prep(恰当-19, 力度-18)
conj(有-3, 恰当-19)
loc(造成-26, 放在-21)
dobj(放在-21, 包-22)
case(放在-21, 里-23)
neg(造成-26, 不-24)
mmod(造成-26, 会-25)
conj(有-3, 造成-26)
dobj(造成-26, 误触-27)
advmod(没-31, 所以-29)
dep(没-31, 你-30)
conj(有-3, 没-31)
amod(锁屏-33, 必要-32)
dobj(没-31, 锁屏-33)

nn(外壳-2, 手机-1)
assmod(材质-4, 外壳-2)
case(外壳-2, 的-3)
nsubj(选用-8, 材质-4)
case(追求-6, 为了-5)
prep(选用-8, 追求-6)
mmod(选用-8, 轻便-7)
root(ROOT-0, 选用-8)
asp(选用-8, 了-9)
nn(塑料-11, 工程-10)
dobj(选用-8, 塑料-11)
advmod(右下角-16, 因此-13)
case(手机-15, 在-14)
prep(右下角-16, 手机-15)
conj(选用-8, 右下角-16)
advmod(光滑-19, 看上去-17)
advmod(光滑-19, 比较-18)
relcl(地方-21, 光滑-19)
mark(光滑-19, 的-20)
dobj(右下角-16, 地方-21)
